PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Customer ID
No,Electronic check,20.85,473.9,2958-NHPPS
No,Bank transfer (automatic),19.5,106.8,6806-YDEUL
Yes,Mailed check,19.35,152.6,1735-XMJVH
No,Mailed check,69.5,1199.4,6890-PFRQX
Yes,Credit card (automatic),48.8,2555.05,0222-CNVPT
Yes,Electronic check,94.5,2979.2,5899-OUVKV
Yes,Mailed check,20.65,654.85,8681-ICONS
Yes,Credit card (automatic),106.05,3834.4,1621-YNCJH
Yes,Electronic check,100,1534.75,3473-XIIIT
Yes,Electronic check,108.3,4586.15,6362-QHAFM
No,Electronic check,20.55,20.55,7893-IXHRQ
Yes,Electronic check,99.65,5941.05,3070-BDOQC
Yes,Electronic check,85.3,424.15,2952-QAYZF
No,Credit card (automatic),95.9,2234.95,6234-PFPXL
No,Mailed check,20,666.75,9824-QCJPK
No,Electronic check,70.4,281,4763-PGDPO
No,Mailed check,64.95,547.8,4283-IVYCI
No,Credit card (automatic),74.6,74.6,1866-OBPNR
Yes,Electronic check,49.2,571.15,8205-MQUGY
Yes,Mailed check,73.75,1756.6,8970-ANWXO
Yes,Bank transfer (automatic),92.3,5731.45,9480-BQJEI
No,Bank transfer (automatic),98.8,3475.55,5394-SVGJV
No,Mailed check,19.2,156.85,6979-TNDEU
No,Credit card (automatic),88.65,2683.2,9777-WJJPR
Yes,Credit card (automatic),74.4,896.75,9283-LZQOH
Yes,Electronic check,98.75,2407.3,7079-QRCBC
Yes,Bank transfer (automatic),95.95,4456.65,9495-SKLKD
No,Credit card (automatic),105.4,6998.95,6048-UWKAL
No,Mailed check,20.25,36.8,5067-DGXLL
Yes,Electronic check,106,6547.7,5469-CTCWN
Yes,Electronic check,104.7,4346.4,9851-QXEEQ
Yes,Electronic check,49.05,2265,6281-FKEWS
No,Mailed check,35.55,1309.15,8898-KASCD
Yes,Credit card (automatic),65.1,4754.3,9242-TKFSV
Yes,Electronic check,96.85,1235.55,9290-SHCMB
Yes,Credit card (automatic),69.75,3562.5,0743-HNPFG
Yes,Electronic check,99.2,7213.75,2277-BKJKN
Yes,Electronic check,96.7,2082.95,9809-IMGCQ
Yes,Credit card (automatic),55.05,102.75,5208-HFSBT
Yes,Electronic check,106.8,5914.4,5035-PGZXH
No,Mailed check,51.25,51.25,8695-WDYEA
Yes,Mailed check,57.75,1282.85,6543-JXSOO
Yes,Bank transfer (automatic),70.85,4738.85,8016-ZMGMO
No,Mailed check,19.55,19.55,8605-ITULD
Yes,Electronic check,88.2,1775.8,3254-YRILK
Yes,Bank transfer (automatic),79.5,795.65,6416-YJTTB
Yes,Mailed check,19.75,145,2667-WYLWJ
No,Bank transfer (automatic),98.15,4993.4,4472-VESGY
Yes,Electronic check,20.25,61.45,3195-TQDZX
Yes,Bank transfer (automatic),79.15,4018.55,3128-YOVTD
No,Electronic check,75.65,1146.65,0529-ONKER
Yes,Electronic check,94.25,6081.4,1728-CXQBE
Yes,Credit card (automatic),40.2,1478.85,7041-TXQJH
No,Mailed check,19.95,243.65,5014-GSOUQ
Yes,Electronic check,55.35,2633.95,5724-BIDBU
Yes,Bank transfer (automatic),102.15,4735.35,0481-SUMCB
Yes,Electronic check,71.1,1247.75,1769-GRUIK
Yes,Electronic check,74.7,74.7,5240-IJOQT
Yes,Bank transfer (automatic),54.1,3794.5,8819-WFGGJ
No,Credit card (automatic),19.65,1008.7,7427-AUFPY
Yes,Bank transfer (automatic),88.45,2130.55,2811-POVEX
Yes,Electronic check,76.65,1313.55,1092-GANHU
No,Credit card (automatic),80.4,5727.15,7898-PDWQE
Yes,Bank transfer (automatic),19.25,1372.9,9972-EWRJS
Yes,Electronic check,84.8,1203.9,9314-IJWSQ
Yes,Mailed check,25.8,25.8,0661-XEYAN
No,Credit card (automatic),19.5,1215.1,5799-JRCZO
Yes,Electronic check,68.6,2877.05,1921-KYSAY
No,Electronic check,92.6,1579.7,6198-RTPMF
Yes,Electronic check,100.55,5514.95,2924-KHUVI
No,Credit card (automatic),20.55,96.1,1925-GMVBW
Yes,Electronic check,42.6,72.4,7881-EVUAD
Yes,Mailed check,19.6,55.25,6184-DYUOB
No,Electronic check,67.45,2443.3,9207-ZPANB
Yes,Bank transfer (automatic),68.85,1970.5,5766-XQXMQ
No,Mailed check,43.55,335.4,9327-QSDED
Yes,Credit card (automatic),109.85,7002.95,1656-DRSMG
No,Mailed check,20.65,158.95,3012-VFFMN
No,Electronic check,95.4,293.15,2984-AFWNC
No,Bank transfer (automatic),21,1493.75,0640-YJTPY
Yes,Electronic check,56.2,1093.4,8096-LOIST
No,Bank transfer (automatic),18.4,1057.85,9764-REAFF
No,Credit card (automatic),90,190.05,3703-VAVCL
Yes,Electronic check,25.75,882.55,7107-UBYKY
No,Credit card (automatic),19.6,300.4,4881-GQJTW
No,Electronic check,75.35,1025.95,8519-QJGJD
No,Credit card (automatic),19.8,1436.95,7876-DNYAP
No,Electronic check,64.2,475,7905-NJMXS
Yes,Bank transfer (automatic),75.75,5388.15,2882-WDTBA
Yes,Electronic check,78.95,5730.15,2091-GPPIQ
No,Electronic check,100.85,819.55,6326-MTTXK
No,Electronic check,50.3,217.1,5071-FBJFS
Yes,Credit card (automatic),80.3,4896.35,2796-UUZZO
No,Bank transfer (automatic),19.85,1434.1,2429-AYKKO
Yes,Electronic check,21.1,937.1,9798-OPFEM
No,Electronic check,69.95,330.15,0330-IVZHA
Yes,Mailed check,50,1474.9,3794-NFNCH
Yes,Bank transfer (automatic),104.75,6536.5,5193-QLVZB
No,Bank transfer (automatic),19.85,1128.1,7114-AEOZE
Yes,Electronic check,107.5,6873.75,2886-KEFUM
No,Electronic check,85.9,2199.05,5522-NYKPB
Yes,Mailed check,45.85,45.85,4237-RLAQD
Yes,Electronic check,80.8,457.1,9957-YODKZ
No,Mailed check,25.25,566.5,6518-KZXCB
No,Bank transfer (automatic),80.55,2471.6,2245-ADZFJ
Yes,Bank transfer (automatic),81.5,3107.3,7776-QGYJC
No,Mailed check,20.9,518.3,9313-QOLTZ
Yes,Bank transfer (automatic),106.1,5769.75,9651-GTSAQ
No,Electronic check,91.7,91.7,3186-BAXNB
Yes,Electronic check,67.25,832.3,4672-FOTSD
Yes,Credit card (automatic),95.6,1555.65,0637-YLETY
No,Mailed check,20.35,45.3,9818-XQCUV
No,Bank transfer (automatic),45.05,1790.6,7338-ERIVA
Yes,Electronic check,74.95,74.95,1157-BQCUW
No,Mailed check,34.65,246.6,8259-NFJTV
No,Electronic check,69.35,261.65,3223-DWFIO
Yes,Electronic check,95.35,898.35,2660-EMUBI
Yes,Electronic check,81.55,4509.5,6968-GMKPR
Yes,Bank transfer (automatic),75.4,5480.25,4751-ERMAN
Yes,Credit card (automatic),67.8,653.15,1436-ZMJAN
Yes,Electronic check,111.4,1183.05,3292-PBZEJ
No,Electronic check,46.3,639.45,0799-DDIHE
No,Bank transfer (automatic),20.4,478.75,3070-FNFZQ
No,Mailed check,20.05,20.05,2812-SFXMJ
No,Electronic check,45,127.1,7675-OZCZG
Yes,Electronic check,96.1,4391.45,5014-WUQMG
No,Mailed check,19.65,270.6,5312-TSZVC
No,Electronic check,99.5,6710.5,2003-CKLOR
Yes,Bank transfer (automatic),60.65,3975.9,0993-OSGPT
No,Bank transfer (automatic),98.6,1704.95,9254-RBFON
Yes,Mailed check,59.5,415.95,1205-WNWPJ
Yes,Electronic check,80.45,950.2,9391-EOYLI
No,Bank transfer (automatic),71.7,1497.05,7108-DGVUU
Yes,Mailed check,36,780.15,2782-JEEBU
No,Bank transfer (automatic),65.2,3512.15,5127-BZENZ
Yes,Credit card (automatic),48.95,273.25,2720-FVBQP
Yes,Bank transfer (automatic),53.5,3517.9,9906-NHHVC
No,Credit card (automatic),80.45,3375.9,4522-XRWWI
Yes,Bank transfer (automatic),109.05,7508.55,3766-EJLFL
No,Bank transfer (automatic),26.3,1245.05,5939-SXWHM
Yes,Electronic check,106.8,5347.95,8152-UOBNY
Yes,Electronic check,64.95,493.65,7351-KYHQH
No,Electronic check,19.35,1263.85,7643-RCHXS
No,Credit card (automatic),21.1,385.55,8246-SHFGA
Yes,Credit card (automatic),77.95,3384,8387-MOJJT
No,Mailed check,18.85,84.2,0620-XEFWH
No,Bank transfer (automatic),26,1638.7,6485-QXWWE
Yes,Electronic check,74.7,165.4,2761-OCIAX
Yes,Electronic check,70.35,120.25,7321-VGNKU
Yes,Bank transfer (automatic),96.9,4473.45,5327-CNLUQ
No,Bank transfer (automatic),19.55,520.55,7552-KEYGT
Yes,Bank transfer (automatic),80.4,5717.85,5816-JMLGY
Yes,Electronic check,88.8,88.8,3068-OMWZA
Yes,Electronic check,94.65,4312.5,2927-QRRQV
Yes,Electronic check,90.25,2755.35,6032-KRXXO
Yes,Bank transfer (automatic),64.65,994.55,7459-RRWQZ
No,Credit card (automatic),95.75,6511.25,6265-SXWBU
Yes,Credit card (automatic),19.55,1218.65,7941-RCJOW
Yes,Credit card (automatic),104.1,7447.7,6374-NTQLP
Yes,Bank transfer (automatic),89.05,1169.35,4154-AQUGT
Yes,Mailed check,20.1,279.5,2387-KDZQY
Yes,Electronic check,111.55,5720.35,3584-WKTTW
No,Credit card (automatic),60.5,3121.45,3399-BMLVW
Yes,Bank transfer (automatic),90.95,6468.6,1971-DTCZB
No,Electronic check,87.4,5918.8,3092-IGHWF
No,Mailed check,19.7,675.6,3374-PZLXD
Yes,Bank transfer (automatic),50.95,3521.7,3813-DHBBB
Yes,Bank transfer (automatic),20.05,923.1,2812-REYAT
Yes,Mailed check,19.4,1110.35,6518-PPLMZ
No,Electronic check,59.45,1611.65,4939-KYYPY
Yes,Electronic check,94.75,2293.6,8017-LXHFA
Yes,Credit card (automatic),81.5,5553.25,5930-GBIWP
No,Bank transfer (automatic),29.05,44.75,6022-KOUQO
Yes,Electronic check,86.45,3029.1,6352-TWCAU
No,Mailed check,70.6,3231.05,2361-UPSND
Yes,Bank transfer (automatic),97.2,5129.45,6035-RIIOM
Yes,Electronic check,98.25,5508.35,2929-QNSRW
Yes,Bank transfer (automatic),75.75,655.9,1262-OPMFY
No,Bank transfer (automatic),59.2,1191.2,9504-DSHWM
Yes,Mailed check,75.9,866.4,5035-BVCXS
Yes,Electronic check,90.05,2627.2,6267-DCFFZ
No,Bank transfer (automatic),70.95,4741.45,3533-UVMOM
Yes,Electronic check,102.6,4009.2,2439-LYPMQ
Yes,Bank transfer (automatic),85.35,1463.45,4248-QPAVC
Yes,Credit card (automatic),106.1,5082.8,1899-VXWXM
No,Electronic check,43.8,43.8,1478-VPOAD
No,Electronic check,59,3707.6,9995-HOTOH
Yes,Electronic check,69.95,220.45,2988-PLAHS
No,Bank transfer (automatic),24.35,1133.7,1371-OJCEK
No,Credit card (automatic),29.45,1983.15,4999-IEZLT
Yes,Credit card (automatic),84.4,5746.75,8883-ANODQ
Yes,Electronic check,45.05,770.6,4690-LLKUA
No,Mailed check,20.65,134.05,2351-RRBUE
Yes,Bank transfer (automatic),87.1,6230.1,5980-BDHPY
No,Mailed check,19.85,573.05,1498-DQNRX
Yes,Electronic check,90.35,3419.3,9469-WEJBT
Yes,Mailed check,109.8,3587.25,3331-HQDTW
Yes,Electronic check,84.65,3541.35,9490-DFPMD
No,Mailed check,65.5,3801.3,2581-VKIRT
Yes,Bank transfer (automatic),79.5,868.5,5442-XSDCW
Yes,Electronic check,80.95,4859.1,7426-WEIJX
Yes,Mailed check,56.15,1439.35,2851-MMUTZ
No,Mailed check,85.8,85.8,3049-NDXFL
Yes,Electronic check,79.1,79.1,8580-AECUZ
No,Mailed check,34.4,592.75,3307-TLCUD
No,Mailed check,20.75,1185.95,6625-FLENO
No,Mailed check,18.8,18.8,2967-MXRAV
No,Mailed check,44.3,134.5,7963-GQRMY
No,Electronic check,90.8,4921.2,8189-HBVRW
Yes,Electronic check,25.6,901.25,4163-KIUHY
No,Credit card (automatic),105.95,5341.8,1228-FZFRV
No,Credit card (automatic),70.8,4859.95,3500-NSDOA
No,Electronic check,25.4,1139.2,1171-TYKUR
Yes,Bank transfer (automatic),108.8,7082.45,3761-FLYZI
Yes,Electronic check,69.75,324.6,2058-DCJBE
Yes,Electronic check,94.65,4812.75,5364-XYIRR
No,Bank transfer (automatic),96.05,4399.5,4829-AUOAX
Yes,Electronic check,76.85,663.55,1219-NNDDO
No,Mailed check,20.25,174.65,8388-DMKAE
Yes,Credit card (automatic),24.8,321.7,4403-BWPAY
Yes,Electronic check,115.65,5125.5,9659-QEQSY
Yes,Credit card (automatic),74.6,548.9,5405-ZMYXQ
Yes,Mailed check,50.15,50.15,5047-LHVLY
Yes,Bank transfer (automatic),103.15,7031.3,1442-OKRJE
No,Credit card (automatic),72.1,5016.65,4737-AQCPU
Yes,Bank transfer (automatic),113.6,4594.95,9158-VCTQB
No,Mailed check,25.1,611.45,2808-CHTDM
Yes,Electronic check,78.9,2384.15,6311-UEUME
Yes,Electronic check,80.15,319.85,0793-TWELN
No,Mailed check,25.4,153.3,3283-WCWXT
Yes,Credit card (automatic),105.4,7035.6,1060-ENTOF
Yes,Mailed check,45.75,344.2,0999-QXNSA
Yes,Mailed check,24.45,1431.65,5451-MHQOF
No,Credit card (automatic),25,1849.2,4836-WNFNO
Yes,Electronic check,85.25,6083.1,9225-BZLNZ
No,Credit card (automatic),19.6,426.65,0354-VXMJC
No,Mailed check,50.15,1655.35,4422-QVIJA
Yes,Electronic check,70.55,1943.9,9365-SRSZE
Yes,Electronic check,60.05,1616.15,6839-ITVZJ
No,Mailed check,26.4,314.95,8332-OSJDW
No,Mailed check,20.15,804.85,4735-BJKOU
No,Mailed check,58.85,465.7,0274-JKUJR
Yes,Credit card (automatic),97.55,6669.05,5740-YHGTW
No,Credit card (automatic),19.65,1161.75,8917-SZTTJ
Yes,Credit card (automatic),25.25,947.75,1696-MZVAU
No,Credit card (automatic),114.45,8375.05,7359-WWYJV
Yes,Electronic check,34.7,34.7,0375-HVGXO
Yes,Electronic check,70.7,3770,4906-ZHGPK
Yes,Electronic check,85.3,264.8,8593-WHYHV
No,Credit card (automatic),75.55,4707.85,3795-GWTRD
Yes,Electronic check,84.8,6152.4,1298-PHBTI
Yes,Mailed check,20.65,958.1,6223-DHJGV
No,Bank transfer (automatic),20.45,943,6961-MJKBO
Yes,Credit card (automatic),102.45,6615.15,6097-EQISJ
Yes,Bank transfer (automatic),104.4,2200.25,4423-YLHDV
Yes,Electronic check,35.65,425.1,8158-WPEZG
Yes,Electronic check,99.75,99.75,0107-YHINA
No,Electronic check,90.45,5044.8,4918-FYJNT
Yes,Credit card (automatic),97.65,6743.55,0727-BNRLG
No,Electronic check,73.85,196.4,4854-CIDCF
Yes,Electronic check,74.4,299.7,8640-SDGKB
Yes,Credit card (automatic),69.1,2093.9,3280-MRDOF
Yes,Electronic check,82.75,417.75,6435-SRWBJ
Yes,Credit card (automatic),24.4,1725.4,9964-WBQDJ
Yes,Electronic check,55.25,1620.2,6303-KFWSL
No,Bank transfer (automatic),61.35,3169.55,1702-CCFNJ
No,Credit card (automatic),76.75,5233.25,8932-CZHRQ
No,Mailed check,19.4,967.85,0386-CWRGM
Yes,Credit card (automatic),54.75,438.05,5515-RUGKN
No,Credit card (automatic),19.7,1421.9,0404-AHASP
No,Bank transfer (automatic),19.9,323.15,7279-NMVJC
Yes,Electronic check,107.95,318.6,2081-VEYEH
Yes,Bank transfer (automatic),83.8,163.7,6407-UTSLV
Yes,Credit card (automatic),74.25,639.65,4116-TZAQJ
Yes,Credit card (automatic),56.4,2928.5,9060-HJJRW
No,Mailed check,20.1,100.35,2587-YNLES
No,Electronic check,94.9,273.2,7398-SKNQZ
Yes,Electronic check,94.2,1608.15,5935-FCCNB
No,Electronic check,49.9,1441.95,1958-RNRKS
Yes,Electronic check,71.05,2168.15,5136-RGMZO
No,Bank transfer (automatic),81.65,3618.7,8345-MVDYC
No,Bank transfer (automatic),89.45,5692.65,8226-BXGES
Yes,Electronic check,59.85,59.85,3877-JRJIP
Yes,Electronic check,69.6,69.6,8375-DKEBR
No,Electronic check,99,5969.3,9705-IOVQQ
No,Mailed check,19.05,19.05,1015-OWJKI
Yes,Electronic check,45.4,418.8,7511-YMXVQ
No,Bank transfer (automatic),114.45,8100.55,2040-XBAVJ
No,Mailed check,19.5,19.5,7551-JOHTI
Yes,Mailed check,44.25,313.45,8887-IPQNC
Yes,Bank transfer (automatic),90.55,6130.95,8646-JCOMS
Yes,Electronic check,69.9,69.9,9804-ICWBG
Yes,Bank transfer (automatic),20.4,745.3,1222-KJNZD
Yes,Bank transfer (automatic),71.4,1212.1,0106-GHRQR
Yes,Bank transfer (automatic),87.15,183.75,5318-IXUZF
No,Credit card (automatic),24.85,1583.5,3768-VHXQO
Yes,Bank transfer (automatic),104.45,4162.05,8952-WCVCD
Yes,Credit card (automatic),19.8,1119.9,2418-TPEUN
Yes,Bank transfer (automatic),116.45,8013.55,3963-RYFNS
Yes,Bank transfer (automatic),84.75,264.85,3198-VELRD
No,Credit card (automatic),20.05,1102.4,8540-ZQGEA
Yes,Electronic check,110.75,5832,1320-REHCS
Yes,Bank transfer (automatic),89.7,4304.5,4137-JOPHL
Yes,Electronic check,89.95,1178.4,9436-ZBZCT
No,Credit card (automatic),48.7,1421.75,7801-CEDNV
Yes,Bank transfer (automatic),96.6,6827.5,2057-BOYKM
Yes,Credit card (automatic),74.3,4698.05,3658-QQJYD
Yes,Electronic check,54.3,654.5,1803-BGNBD
No,Bank transfer (automatic),74.85,3268.05,0134-XWXCE
Yes,Bank transfer (automatic),79.95,4362.05,6950-TWMYB
No,Bank transfer (automatic),20.05,1386.9,5848-FHRFC
No,Mailed check,19.4,415.4,2243-FNMMI
No,Bank transfer (automatic),54.9,2614.1,2511-MORQY
Yes,Credit card (automatic),24.45,1513.6,5356-KZCKT
Yes,Bank transfer (automatic),89.65,3161.6,9470-XCCEM
Yes,Electronic check,45.4,80.95,6519-CFDBX
No,Mailed check,75.7,4676.7,3902-MIVLE
Yes,Credit card (automatic),110.65,6526.65,0409-WTMPL
Yes,Mailed check,20.55,583.3,8763-KIAFH
Yes,Credit card (automatic),115.15,8078.1,3669-WHAFY
No,Credit card (automatic),58.55,3503.5,3055-VTCGS
Yes,Bank transfer (automatic),93.25,6669.45,3144-KMTWZ
Yes,Electronic check,113.2,4689.5,7279-BUYWN
Yes,Electronic check,90.5,1201.15,7156-MHUGY
No,Electronic check,79,143.65,7198-GLXTC
Yes,Bank transfer (automatic),19.35,1292.65,2007-QVGAW
Yes,Mailed check,48.75,48.75,5207-PLSTK
Yes,Electronic check,109.05,7108.2,2307-FYNNL
Yes,Bank transfer (automatic),25,1802.55,5605-XNWEN
Yes,Credit card (automatic),54.9,1505.15,2155-AMQRX
No,Credit card (automatic),24.75,1859.1,6181-AXXYF
Yes,Electronic check,91.15,168.5,5091-HFAZW
No,Bank transfer (automatic),20.15,390.85,0516-VRYBW
Yes,Electronic check,104.35,6339.45,2519-LBNQL
Yes,Electronic check,66.05,1652.4,8623-ULFNQ
Yes,Electronic check,71.65,71.65,8380-PEFPE
No,Mailed check,20.35,77.5,5687-DKDTV
Yes,Credit card (automatic),92.2,6392.85,1568-LJSZU
Yes,Credit card (automatic),84.25,3264.5,7530-HDYDS
Yes,Bank transfer (automatic),105.2,4599.15,7789-HKSBS
Yes,Bank transfer (automatic),19.6,1134.25,7416-CKTEP
No,Electronic check,30.4,1621.35,2586-CWXVV
No,Bank transfer (automatic),78.1,947.3,3096-IZETN
Yes,Mailed check,61.5,2722.2,2348-KCJLT
Yes,Bank transfer (automatic),69.4,3058.3,8401-EMUWF
No,Bank transfer (automatic),24.75,1769.6,4193-IBKSW
No,Mailed check,91.05,6293.75,5377-NDTOU
No,Mailed check,89.65,1761.05,5922-ABDVO
Yes,Credit card (automatic),73.65,1642.75,2474-LCNUE
No,Credit card (automatic),19.4,578.5,0839-QNXME
No,Bank transfer (automatic),26.2,954.9,3506-OVLKD
Yes,Electronic check,98.7,973.25,9172-ANCRX
Yes,Bank transfer (automatic),43.85,43.85,6650-VJONK
Yes,Mailed check,69.7,1490.4,2178-PMGCJ
No,Mailed check,38.55,280,7492-TAFJD
Yes,Mailed check,53.1,1901.25,2773-MADBQ
No,Mailed check,20.65,716.4,6016-LVTJQ
No,Credit card (automatic),64.45,4720,7860-KSUGX
No,Credit card (automatic),25.1,930.95,8966-KZXXA
No,Electronic check,76.35,76.35,6910-HADCM
Yes,Electronic check,79.15,1676.95,4816-LXZYW
Yes,Electronic check,85,2642.05,9606-PBKBQ
Yes,Credit card (automatic),95.15,6770.85,5149-QYTTU
Yes,Mailed check,79.35,1835.3,2070-XYMFH
Yes,Bank transfer (automatic),96.65,1588.25,2085-BOJKI
Yes,Electronic check,75.5,75.5,0817-HSUSE
No,Mailed check,19.7,258.35,5442-PPTJY
No,Credit card (automatic),20.5,1502.25,1927-QEWMY
No,Mailed check,19.2,19.2,1663-MHLHE
No,Bank transfer (automatic),98.35,6929.4,5663-QBGIS
No,Bank transfer (automatic),74.35,4453.3,4450-MDZFX
No,Credit card (automatic),51.35,3244.4,6701-DHKWQ
No,Mailed check,45.65,323.45,7554-AKDQF
No,Electronic check,85.3,2661.1,3536-IQCTX
Yes,Credit card (automatic),86.55,2697.4,4911-BANWH
Yes,Credit card (automatic),73.85,1424.5,8496-EJAUI
No,Bank transfer (automatic),20.3,1401.15,0794-YVSGE
Yes,Electronic check,54.2,1739.6,5423-BHIXO
Yes,Electronic check,90.65,5931,6908-VVYHM
Yes,Bank transfer (automatic),50.9,2333.85,2959-EEXWB
No,Electronic check,25.05,949.85,1839-UMACK
Yes,Electronic check,74.85,572.45,3030-YDNRM
No,Mailed check,20.5,696.8,7321-KKSDU
Yes,Mailed check,63.55,1381.8,3402-XRIUO
Yes,Electronic check,44.85,2572.95,3132-TVFDZ
No,Electronic check,47.95,47.95,8286-AFUYI
No,Electronic check,45.1,45.1,8080-DDEMJ
Yes,Electronic check,45,45,8356-WUAOJ
Yes,Electronic check,96,2122.45,6365-MTGZX
No,Bank transfer (automatic),20.05,20.05,1349-WXNGG
Yes,Electronic check,90.05,4931.8,8058-DMYRU
Yes,Credit card (automatic),25.3,116.95,9350-ZXYJC
No,Bank transfer (automatic),108.65,6937.95,6990-YNRIO
No,Electronic check,24.3,1261.7,8958-JPTRR
Yes,Electronic check,75.95,3273.8,6959-GQEGV
No,Credit card (automatic),19.7,1415.85,3173-WSSUE
No,Credit card (automatic),66.4,3958.2,1265-HVPZB
Yes,Bank transfer (automatic),35.75,2492.25,4115-UMJFQ
No,Mailed check,18.8,279.2,7369-TRPFD
No,Credit card (automatic),19.4,1083,1098-KFQEC
No,Mailed check,19.3,755.5,7190-XHTWJ
Yes,Electronic check,45.55,402.6,0621-TWIEM
Yes,Credit card (automatic),67.45,3252,3537-RYBHH
Yes,Electronic check,35.1,68.75,2485-ITVKB
No,Credit card (automatic),46.2,46.2,3669-OYSJI
No,Electronic check,45.15,45.15,1612-EOHDH
Yes,Electronic check,43.3,43.3,6702-OHFWR
Yes,Mailed check,20.1,936.85,5296-BFCYD
Yes,Credit card (automatic),57.15,2250.65,4510-PYUSH
No,Credit card (automatic),58.9,3857.1,9359-JANWS
Yes,Electronic check,73.2,1441.1,7517-SAWMO
Yes,Electronic check,85.35,4338.6,4143-HHPMK
No,Mailed check,19.45,1378.45,3279-DYZQM
No,Mailed check,45.95,45.95,7054-LGEQW
Yes,Electronic check,50.5,2566.3,0523-VNGTF
No,Mailed check,25.1,171,9575-IWCAZ
No,Mailed check,60.7,1597.4,7105-MXJLL
Yes,Electronic check,99,4744.35,7064-FRRSW
Yes,Bank transfer (automatic),104.4,6721.6,7940-UQQUG
No,Electronic check,83.75,247.25,0923-PNFUB
Yes,Bank transfer (automatic),44.05,44.05,3961-SXAXY
No,Credit card (automatic),24.1,1734.65,7010-BRBUU
Yes,Mailed check,45.55,45.55,3566-HJGPK
Yes,Electronic check,93.8,4539.35,3062-ICYZQ
No,Bank transfer (automatic),19.7,804.25,9938-PRCVK
Yes,Credit card (automatic),70.65,5011.15,0973-KYVNF
No,Credit card (automatic),86.45,3574.5,5129-HHMZC
Yes,Credit card (automatic),114.1,8086.4,9637-CDTKZ
Yes,Credit card (automatic),95.2,4563,3946-JEWRQ
No,Credit card (automatic),88.55,6362.35,7873-CVMAW
Yes,Credit card (automatic),20.75,67.1,0463-WZZKO
Yes,Electronic check,70.05,70.05,3494-JCHRQ
Yes,Electronic check,86,165.45,6474-FVJLC
Yes,Bank transfer (automatic),44.65,1156.55,4524-QCSSM
Yes,Mailed check,60.2,1834.15,5832-EXGTT
Yes,Bank transfer (automatic),100.5,3653.35,8840-DQLGN
No,Bank transfer (automatic),55.45,1477.65,2039-JONDJ
Yes,Credit card (automatic),70.3,1706.45,7217-JYHOQ
Yes,Bank transfer (automatic),60.4,3953.7,6695-FRVEC
No,Electronic check,72.65,1194.3,4547-LYTDD
No,Bank transfer (automatic),55.8,1327.85,9894-QMIMJ
Yes,Mailed check,31.1,419.7,8069-YQQAJ
Yes,Electronic check,21,21,6770-XUAGN
No,Mailed check,45.1,45.1,4193-ORFCL
Yes,Credit card (automatic),50.95,207.35,1636-NTNCO
Yes,Electronic check,69.1,1083.7,3466-WAESX
Yes,Electronic check,43.95,2007.85,9281-PKKZE
Yes,Bank transfer (automatic),86.5,5882.75,3638-VBZTA
No,Electronic check,69.95,2657.55,7459-IMVYU
Yes,Bank transfer (automatic),50.4,1527.5,7776-QWNFX
No,Electronic check,78.95,378.4,6689-TCZHQ
Yes,Credit card (automatic),90.95,1612.2,8563-OYMQY
No,Mailed check,19.9,76.65,0754-EEBDC
No,Electronic check,20.15,260.7,5777-ZPQNC
Yes,Credit card (automatic),90.6,6441.85,1951-IEYXM
Yes,Electronic check,92,266.8,3318-NMQXL
Yes,Electronic check,94.45,5124.6,3143-ILDAL
Yes,Mailed check,24.85,962.25,1022-RKXDR
No,Credit card (automatic),36,1382.9,2361-FJWNO
Yes,Electronic check,78.5,571.05,2272-UOINI
No,Credit card (automatic),19.95,1399.35,8232-UTFOZ
No,Mailed check,20.65,150,3750-YHRYO
Yes,Electronic check,30.5,167.2,6637-KYRCV
No,Credit card (automatic),106.1,7657.4,5668-MEISB
Yes,Bank transfer (automatic),20.5,865.05,0129-QMPDR
Yes,Electronic check,95.5,6153.85,7188-CBBBA
No,Electronic check,64.6,174.2,5356-CSVSQ
Yes,Credit card (automatic),51.1,1269.6,3221-CJMSG
Yes,Bank transfer (automatic),84.8,3862.55,4720-VSTSI
No,Credit card (automatic),89.1,6352.4,3219-JQRSL
No,Electronic check,54.95,1348.5,2801-NISEI
No,Mailed check,50.9,50.9,3946-MHCZW
Yes,Bank transfer (automatic),20.45,471.55,4623-ZKHLY
Yes,Credit card (automatic),85.95,5931.75,6732-VAILE
No,Electronic check,60.35,1404.65,8201-AAXCB
No,Bank transfer (automatic),19.8,726.1,7696-CFTAT
No,Bank transfer (automatic),85.35,1961.6,1845-CSBRZ
Yes,Bank transfer (automatic),72.1,4194.85,2123-VSCOT
Yes,Electronic check,99.8,4872.45,6651-AZVTJ
Yes,Bank transfer (automatic),107.35,5118.95,4566-GOLUK
Yes,Mailed check,19.55,658.95,2484-DGXPZ
Yes,Electronic check,81.05,81.05,2018-QKYGT
Yes,Electronic check,20.5,76.95,2792-VPPET
Yes,Bank transfer (automatic),111.8,5809.75,7409-JURKQ
No,Mailed check,20.2,20.2,3247-MHJKM
Yes,Mailed check,19.7,415.9,1964-SVLEA
Yes,Electronic check,79.1,246.5,4587-NUKOX
Yes,Bank transfer (automatic),19.85,996.95,7297-DVYGA
Yes,Bank transfer (automatic),60.5,3145.15,2239-CGBUZ
No,Mailed check,19.55,265.3,0854-UYHZD
