PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Customer ID
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,2951-QOQTK
Yes,No,No,No,No,No,No,No,No,2958-NHPPS
Yes,No,No,No,No,No,No,No,No,6806-YDEUL
Yes,No,No,No,No,No,No,No,No,1735-XMJVH
Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,6890-PFRQX
No,No ,DSL,Yes,No,No,No,Yes,Yes,0222-CNVPT
Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,5899-OUVKV
Yes,No,No,No,No,No,No,No,No,8681-ICONS
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,1621-YNCJH
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,3473-XIIIT
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,6362-QHAFM
Yes,No,No,No,No,No,No,No,No,7893-IXHRQ
Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,3070-BDOQC
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,2952-QAYZF
Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,6234-PFPXL
Yes,No,No,No ,No ,No ,No ,No ,No ,9824-QCJPK
Yes,No,Fiber optic,No,No,No,No,No,No,4763-PGDPO
Yes,No,DSL,Yes,No,No,Yes,No,Yes,4283-IVYCI
Yes,No,Fiber optic,No,Yes,No,No,No,No,1866-OBPNR
Yes,No,DSL,Yes,No,No,No,No,No,8205-MQUGY
Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,8970-ANWXO
Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,9480-BQJEI
Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,5394-SVGJV
Yes,No,No,No,No,No,No,No,No,6979-TNDEU
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,9777-WJJPR
Yes,Yes,Fiber optic,No,No,No,No,No,No,9283-LZQOH
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,7079-QRCBC
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,9495-SKLKD
Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,6048-UWKAL
Yes,No,No,No,No,No,No,No,No,5067-DGXLL
Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,5469-CTCWN
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,9851-QXEEQ
No,No,DSL,No,No,Yes,No,Yes,Yes,6281-FKEWS
No,No,DSL,No,No,Yes,Yes,No,No,8898-KASCD
No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,9242-TKFSV
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,9290-SHCMB
Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,0743-HNPFG
Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,2277-BKJKN
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,9809-IMGCQ
Yes,No,DSL,No,Yes,No,Yes,No,No,5208-HFSBT
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,5035-PGZXH
Yes,No,DSL,Yes,No,No,No,No,No,8695-WDYEA
Yes,No,DSL,Yes,Yes,No,Yes,No,No,6543-JXSOO
Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,8016-ZMGMO
Yes,No,No,No,No,No,No,No,No,8605-ITULD
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,3254-YRILK
Yes,No,Fiber optic,Yes,No,Yes,No,No,No,6416-YJTTB
Yes,No,No,No ,No ,No ,No ,No ,No ,2667-WYLWJ
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,4472-VESGY
Yes,No,No,No ,No ,No ,No ,No ,No ,3195-TQDZX
Yes,No,Fiber optic,Yes,Yes,No,No,No,No,3128-YOVTD
Yes,Yes,Fiber optic,No,No,No,No,No,No,0529-ONKER
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,1728-CXQBE
No,No ,DSL,No,No,Yes,No,No,Yes,7041-TXQJH
Yes,No,No,No ,No ,No ,No ,No ,No ,5014-GSOUQ
Yes,Yes,DSL,Yes,No,No,No,No,No,5724-BIDBU
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0481-SUMCB
Yes,No,Fiber optic,No,No,No,No,No,No,1769-GRUIK
Yes,Yes,Fiber optic,No,No,No,No,No,No,5240-IJOQT
No,No ,DSL,Yes,No,Yes,No,Yes,Yes,8819-WFGGJ
Yes,No,No,No ,No ,No ,No ,No ,No ,7427-AUFPY
Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,2811-POVEX
Yes,No,Fiber optic,No,No,Yes,No,No,No,1092-GANHU
Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,7898-PDWQE
Yes,No,No,No,No,No,No,No,No,9972-EWRJS
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,9314-IJWSQ
No,No ,DSL,No,No,No,No,No,No,0661-XEYAN
Yes,No,No,No,No,No,No,No,No,5799-JRCZO
Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,1921-KYSAY
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,6198-RTPMF
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,2924-KHUVI
Yes,No,No,No,No,No,No,No,No,1925-GMVBW
No,No ,DSL,Yes,Yes,No,No,No,Yes,7881-EVUAD
Yes,No,No,No,No,No,No,No,No,6184-DYUOB
Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,9207-ZPANB
Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,5766-XQXMQ
Yes,No,DSL,No,No,No,No,No,No,9327-QSDED
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1656-DRSMG
Yes,No,No,No,No,No,No,No,No,3012-VFFMN
Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,2984-AFWNC
Yes,No,No,No,No,No,No,No,No,0640-YJTPY
Yes,No,DSL,No,No,No,No,No,Yes,8096-LOIST
Yes,No,No,No,No,No,No,No,No,9764-REAFF
Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,3703-VAVCL
Yes,Yes,No,No,No,No,No,No,No,7107-UBYKY
Yes,No,No,No,No,No,No,No,No,4881-GQJTW
Yes,No,Fiber optic,No,No,Yes,No,No,No,8519-QJGJD
Yes,No,No,No,No,No,No,No,No,7876-DNYAP
Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,7905-NJMXS
Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,2882-WDTBA
Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,2091-GPPIQ
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6326-MTTXK
Yes,No,DSL,Yes,No,No,No,No,No,5071-FBJFS
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,2796-UUZZO
Yes,No,No,No,No,No,No,No,No,2429-AYKKO
Yes,No,No,No,No,No,No,No,No,9798-OPFEM
Yes,No,Fiber optic,No,No,No,No,No,No,0330-IVZHA
Yes,No,DSL,No,No,Yes,No,No,No,3794-NFNCH
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,5193-QLVZB
Yes,No,No,No,No,No,No,No,No,7114-AEOZE
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,2886-KEFUM
Yes,No,Fiber optic,No,No,No,Yes,Yes,No,5522-NYKPB
Yes,No,DSL,No,No,No,No,No,No,4237-RLAQD
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,9957-YODKZ
Yes,Yes,No,No,No,No,No,No,No,6518-KZXCB
Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,2245-ADZFJ
Yes,No,Fiber optic,No,No,Yes,Yes,No,No,7776-QGYJC
Yes,No,No,No,No,No,No,No,No,9313-QOLTZ
Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,9651-GTSAQ
Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,3186-BAXNB
Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,4672-FOTSD
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,0637-YLETY
Yes,No,No,No,No,No,No,No,No,9818-XQCUV
No,No,DSL,Yes,No,No,Yes,Yes,No,7338-ERIVA
Yes,Yes,Fiber optic,No,No,No,No,No,No,1157-BQCUW
No,No ,DSL,Yes,No,No,Yes,No,No,8259-NFJTV
Yes,No,Fiber optic,No,No,No,No,No,No,3223-DWFIO
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,2660-EMUBI
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,6968-GMKPR
Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,4751-ERMAN
Yes,No,DSL,No,No,Yes,No,Yes,Yes,1436-ZMJAN
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3292-PBZEJ
Yes,No,DSL,No,No,No,No,No,No,0799-DDIHE
Yes,No,No,No,No,No,No,No,No,3070-FNFZQ
Yes,No,No,No,No,No,No,No,No,2812-SFXMJ
Yes,No,DSL,No,No,No,No,No,No,7675-OZCZG
Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,5014-WUQMG
Yes,No,No,No,No,No,No,No,No,5312-TSZVC
Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,2003-CKLOR
Yes,No,DSL,No,Yes,Yes,Yes,No,No,0993-OSGPT
Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,9254-RBFON
Yes,No,DSL,No,No,No,Yes,Yes,No,1205-WNWPJ
Yes,No,Fiber optic,No,No,No,No,No,Yes,9391-EOYLI
Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,7108-DGVUU
No,No ,DSL,No,Yes,No,Yes,No,No,2782-JEEBU
Yes,Yes,DSL,Yes,No,No,No,Yes,No,5127-BZENZ
Yes,Yes,DSL,No,No,No,No,No,No,2720-FVBQP
No,No ,DSL,No,Yes,Yes,No,Yes,Yes,9906-NHHVC
Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,4522-XRWWI
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,3766-EJLFL
Yes,Yes,No,No,No,No,No,No,No,5939-SXWHM
Yes,Yes,Fiber optic,No ,Yes,No,Yes,Yes,Yes,8152-UOBNY
Yes,No,DSL,No ,Yes,Yes,No,Yes,No,7351-KYHQH
Yes,No,No,No,No,No,No,No,No,7643-RCHXS
Yes,No,No,No,No,No,No,No,No,8246-SHFGA
Yes,No,Fiber optic,No ,No,No,No,Yes,No,8387-MOJJT
Yes,No,No,No,No,No,No,No,No,0620-XEFWH
Yes,Yes,No,No,No,No,No,No,No,6485-QXWWE
Yes,No,Fiber optic,No,Yes,No,No,No,No,2761-OCIAX
Yes,No,Fiber optic,No,No,No,No,No,No,7321-VGNKU
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,5327-CNLUQ
Yes,No,No,No,No,No,No,No,No,7552-KEYGT
Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,5816-JMLGY
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,3068-OMWZA
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,2927-QRRQV
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,6032-KRXXO
Yes,Yes,DSL,Yes,No,No,No,No,Yes,7459-RRWQZ
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,6265-SXWBU
Yes,No,No,No,No,No,No,No,No,7941-RCJOW
Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,6374-NTQLP
Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,4154-AQUGT
Yes,No,No,No,No,No,No,No,No,2387-KDZQY
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,3584-WKTTW
Yes,No,DSL,Yes,Yes,No,Yes,No,No,3399-BMLVW
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,1971-DTCZB
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,3092-IGHWF
Yes,No,No,No,No,No,No,No,No,3374-PZLXD
No,No,DSL,Yes,Yes,No,Yes,No,Yes,3813-DHBBB
Yes,No,No,No ,No ,No ,No ,No ,No ,2812-REYAT
Yes,No,No,No ,No ,No ,No ,No ,No ,6518-PPLMZ
Yes,Yes,DSL,No,No,Yes,Yes,No,No,4939-KYYPY
Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,8017-LXHFA
Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,5930-GBIWP
No,No,DSL,No,No,No,Yes,No,No,6022-KOUQO
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,6352-TWCAU
Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,2361-UPSND
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6035-RIIOM
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,2929-QNSRW
Yes,No,Fiber optic,No,No,Yes,No,No,No,1262-OPMFY
Yes,Yes,DSL,Yes,No,No,Yes,No,No,9504-DSHWM
Yes,No,Fiber optic,No,Yes,No,No,No,No,5035-BVCXS
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,6267-DCFFZ
Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,3533-UVMOM
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,2439-LYPMQ
Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,4248-QPAVC
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1899-VXWXM
Yes,No,DSL,No,No,No,No,No,No,1478-VPOAD
No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,9995-HOTOH
Yes,No,DSL,No,No,Yes,No,Yes,Yes,2988-PLAHS
Yes,Yes,No,No,No,No,No,No,No,1371-OJCEK
No,No ,DSL,No,No,No,Yes,No,No,4999-IEZLT
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,8883-ANODQ
Yes,No,DSL,No,No,No,No,No,No,4690-LLKUA
Yes,No,No,No,No,No,No,No,No,2351-RRBUE
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,5980-BDHPY
Yes,No,No,No ,No ,No ,No ,No ,No ,1498-DQNRX
Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,9469-WEJBT
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,3331-HQDTW
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,9490-DFPMD
Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,2581-VKIRT
Yes,No,Fiber optic,No,No,No,No,Yes,No,5442-XSDCW
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,7426-WEIJX
Yes,No,DSL,No,Yes,No,Yes,No,No,2851-MMUTZ
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,3049-NDXFL
Yes,No,Fiber optic,No,No,No,No,Yes,No,8580-AECUZ
No,No,DSL,Yes,No,Yes,No,No,No,3307-TLCUD
Yes,No,No,No ,No ,No ,No ,No ,No ,6625-FLENO
Yes,No,No,No ,No ,No ,No ,No ,No ,2967-MXRAV
Yes,No,DSL,No,No,No,No,No,No,7963-GQRMY
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,8189-HBVRW
Yes,Yes,No,No,No,No,No,No,No,4163-KIUHY
Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,1228-FZFRV
Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,3500-NSDOA
Yes,Yes,No,No ,No ,No ,No ,No ,No ,1171-TYKUR
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3761-FLYZI
Yes,No,Fiber optic,No,No,No,No,No,No,2058-DCJBE
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5364-XYIRR
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,4829-AUOAX
Yes,Yes,Fiber optic,No,No,No,No,No,No,1219-NNDDO
Yes,No,No,No,No,No,No,No,No,8388-DMKAE
Yes,Yes,No,No,No,No,No,No,No,4403-BWPAY
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9659-QEQSY
Yes,Yes,Fiber optic,No,No,No,No,No,No,5405-ZMYXQ
Yes,No,DSL,No,No,Yes,No,No,No,5047-LHVLY
Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,1442-OKRJE
Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,4737-AQCPU
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9158-VCTQB
Yes,Yes,No,No ,No ,No ,No ,No ,No ,2808-CHTDM
Yes,No,Fiber optic,No,No,No,No,Yes,No,6311-UEUME
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,0793-TWELN
Yes,Yes,No,No ,No ,No ,No ,No ,No ,3283-WCWXT
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,1060-ENTOF
Yes,No,DSL,No,No,No,No,No,No,0999-QXNSA
Yes,Yes,No,No,No,No,No,No,No,5451-MHQOF
Yes,Yes,No,No,No,No,No,No,No,4836-WNFNO
Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,9225-BZLNZ
Yes,No,No,No,No,No,No,No,No,0354-VXMJC
Yes,Yes,DSL,No,No,No,No,No,No,4422-QVIJA
Yes,No,Fiber optic,No,No,No,No,No,No,9365-SRSZE
Yes,Yes,DSL,No,Yes,No,Yes,No,No,6839-ITVZJ
Yes,Yes,No,No,No,No,No,No,No,8332-OSJDW
Yes,No,No,No,No,No,No,No,No,4735-BJKOU
No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,0274-JKUJR
Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,5740-YHGTW
Yes,No,No,No,No,No,No,No,No,8917-SZTTJ
No,No,DSL,No,No,No,No,No,No,1696-MZVAU
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,7359-WWYJV
No,No,DSL,No,No,No,No,Yes,No,0375-HVGXO
Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,4906-ZHGPK
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,8593-WHYHV
Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,3795-GWTRD
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,1298-PHBTI
Yes,No,No,No,No,No,No,No,No,6223-DHJGV
Yes,No,No,No,No,No,No,No,No,6961-MJKBO
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,6097-EQISJ
Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,4423-YLHDV
No,No ,DSL,No,Yes,No,Yes,No,No,8158-WPEZG
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,0107-YHINA
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,4918-FYJNT
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,0727-BNRLG
Yes,No,Fiber optic,No,No,Yes,No,No,No,4854-CIDCF
Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,8640-SDGKB
Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,3280-MRDOF
Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,6435-SRWBJ
Yes,Yes,No,No,No,No,No,No,No,9964-WBQDJ
Yes,Yes,DSL,No,Yes,No,No,No,No,6303-KFWSL
Yes,Yes,DSL,No,Yes,No,Yes,No,No,1702-CCFNJ
Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,8932-CZHRQ
Yes,No,No,No ,No ,No ,No ,No ,No ,0386-CWRGM
Yes,No,DSL,No ,No,No,No,No,Yes,5515-RUGKN
Yes,No,No,No ,No ,No ,No ,No ,No ,0404-AHASP
Yes,No,No,No ,No ,No ,No ,No ,No ,7279-NMVJC
Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,2081-VEYEH
Yes,No,Fiber optic,No,Yes,No,No,Yes,No,6407-UTSLV
Yes,No,Fiber optic,Yes,No,No,No,No,No,4116-TZAQJ
No,No,DSL,No,Yes,Yes,No,Yes,Yes,9060-HJJRW
Yes,No,No,No,No,No,No,No,No,2587-YNLES
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,7398-SKNQZ
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5935-FCCNB
Yes,Yes,DSL,No,No,No,No,No,No,1958-RNRKS
Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,5136-RGMZO
Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,8345-MVDYC
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,8226-BXGES
Yes,Yes,DSL,No,No,No,No,Yes,No,3877-JRJIP
Yes,No,Fiber optic,No,No,No,No,No,No,8375-DKEBR
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,9705-IOVQQ
Yes,No,No,No,No,No,No,No,No,1015-OWJKI
No,No,DSL,No,No,No,No,Yes,Yes,7511-YMXVQ
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2040-XBAVJ
Yes,No,No,No,No,No,No,No,No,7551-JOHTI
Yes,No,DSL,No,No,No,No,No,No,8887-IPQNC
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,8646-JCOMS
Yes,No,Fiber optic,No,No,No,No,No,No,9804-ICWBG
Yes,No,No,No,No,No,No,No,No,1222-KJNZD
Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,0106-GHRQR
Yes,No,Fiber optic,No,Yes,No,No,Yes,No,5318-IXUZF
Yes,Yes,No,No,No,No,No,No,No,3768-VHXQO
Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,8952-WCVCD
Yes,No,No,No ,No ,No ,No ,No ,No ,2418-TPEUN
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3963-RYFNS
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,3198-VELRD
Yes,No,No,No,No,No,No,No,No,8540-ZQGEA
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1320-REHCS
Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,4137-JOPHL
Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,9436-ZBZCT
Yes,No,DSL,Yes,No,No,No,No,No,7801-CEDNV
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,2057-BOYKM
Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,3658-QQJYD
Yes,No,DSL,No,Yes,No,Yes,No,No,1803-BGNBD
Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,0134-XWXCE
Yes,No,Fiber optic,No,Yes,No,Yes,No,No,6950-TWMYB
Yes,No,No,No,No,No,No,No,No,5848-FHRFC
Yes,No,No,No,No,No,No,No,No,2243-FNMMI
Yes,Yes,DSL,No,No,Yes,No,No,No,2511-MORQY
Yes,Yes,No,No,No,No,No,No,No,5356-KZCKT
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,9470-XCCEM
Yes,No,DSL,No,No,No,No,No,No,6519-CFDBX
Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,3902-MIVLE
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,0409-WTMPL
Yes,No,No,No,No,No,No,No,No,8763-KIAFH
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3669-WHAFY
Yes,No,DSL,No,No,Yes,No,No,Yes,3055-VTCGS
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,3144-KMTWZ
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,7279-BUYWN
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,7156-MHUGY
Yes,No,Fiber optic,No,No,No,No,Yes,No,7198-GLXTC
Yes,No,No,No ,No ,No ,No ,No ,No ,2007-QVGAW
Yes,No,DSL,Yes,No,No,No,No,No,5207-PLSTK
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,2307-FYNNL
Yes,Yes,No,No,No,No,No,No,No,5605-XNWEN
Yes,Yes,DSL,No,No,No,Yes,No,No,2155-AMQRX
Yes,Yes,No,No,No,No,No,No,No,6181-AXXYF
Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,5091-HFAZW
Yes,No,No,No,No,No,No,No,No,0516-VRYBW
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,2519-LBNQL
Yes,Yes,DSL,No,No,No,Yes,No,Yes,8623-ULFNQ
Yes,No,Fiber optic,No,No,No,No,No,No,8380-PEFPE
Yes,No,No,No,No,No,No,No,No,5687-DKDTV
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,1568-LJSZU
Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,7530-HDYDS
Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,7789-HKSBS
Yes,No,No,No,No,No,No,No,No,7416-CKTEP
No,No,DSL,No,Yes,No,No,No,No,2586-CWXVV
Yes,No,Fiber optic,No,No,No,No,No,Yes,3096-IZETN
Yes,No,DSL,Yes,Yes,Yes,No,No,No,2348-KCJLT
Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,8401-EMUWF
Yes,Yes,No,No,No,No,No,No,No,4193-IBKSW
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,5377-NDTOU
Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,5922-ABDVO
Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,2474-LCNUE
Yes,No,No,No,No,No,No,No,No,0839-QNXME
Yes,Yes,No,No,No,No,No,No,No,3506-OVLKD
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,9172-ANCRX
Yes,No,DSL,No,No,No,No,No,No,6650-VJONK
Yes,No,Fiber optic,No,No,No,No,No,No,2178-PMGCJ
No,No,DSL,Yes,Yes,Yes,No,No,No,7492-TAFJD
No,No,DSL,Yes,Yes,Yes,Yes,No,Yes,2773-MADBQ
Yes,No,No,No ,No ,No ,No ,No ,No ,6016-LVTJQ
Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,7860-KSUGX
Yes,Yes,No,No ,No ,No ,No ,No ,No ,8966-KZXXA
Yes,No,Fiber optic,No,No,Yes,No,No,No,6910-HADCM
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4816-LXZYW
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,9606-PBKBQ
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,5149-QYTTU
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,2070-XYMFH
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,2085-BOJKI
Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,0817-HSUSE
Yes,No,No,No,No,No,No,No,No,5442-PPTJY
Yes,No,No,No,No,No,No,No,No,1927-QEWMY
Yes,No,No,No,No,No,No,No,No,1663-MHLHE
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,5663-QBGIS
Yes,Yes,Fiber optic,No,No,No,No,No,No,4450-MDZFX
No,No ,DSL,No,Yes,Yes,Yes,Yes,No,6701-DHKWQ
Yes,No,DSL,No,No,No,No,No,No,7554-AKDQF
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,3536-IQCTX
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,4911-BANWH
Yes,No,Fiber optic,No,Yes,No,No,No,No,8496-EJAUI
